,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
32,31,31,2014-12-30,,CLE,W,109,101,111.5,103.3,97.8,.329,.367,.603,51.2,57.5,13.3,9.4,,.570,14.2,18.4,.241,,.518,16.2,77.1,.167
33,32,32,2015-01-02,@,UTA,W,98,92,108.7,102.1,90.1,.370,.284,.520,50.0,72.7,10.0,5.5,,.444,9.6,26.8,.321,,.430,12.7,67.9,.209
34,33,33,2015-01-03,@,POR,W,115,107,113.2,105.3,101.6,.369,.202,.589,51.1,39.5,8.9,8.3,,.548,12.5,23.3,.274,,.522,15.5,76.6,.108
35,34,34,2015-01-05,@,LAC,W,107,98,107.9,98.8,99.2,.407,.333,.560,47.7,69.4,13.1,4.1,,.525,11.2,15.9,.272,,.493,19.2,81.0,.338
36,35,35,2015-01-07,,MEM,W,96,86,104.6,93.7,91.8,.319,.347,.585,48.7,65.6,18.5,6.5,,.535,17.2,20.5,.264,,.475,20.0,78.4,.139
37,36,36,2015-01-09,@,DET,W,106,103,107.8,104.8,98.3,.293,.280,.573,51.6,67.5,3.1,5.7,,.549,13.1,14.6,.195,,.464,6.3,79.6,.146
38,37,37,2015-01-11,,WAS,W,120,89,130.8,97.0,91.7,.270,.348,.603,51.9,81.0,15.3,5.4,,.562,7.4,29.5,.225,,.507,18.7,78.4,.158
39,38,38,2015-01-13,@,PHI,W,105,87,115.9,96.0,90.6,.184,.264,.558,57.3,81.0,6.6,5.9,,.552,14.5,39.5,.103,,.467,17.1,72.7,.211
40,39,39,2015-01-14,@,BOS,W,105,91,118.7,102.8,88.5,.370,.397,.619,46.7,63.9,14.7,14.0,,.562,12.4,18.2,.315,,.476,15.2,69.0,.145
41,40,40,2015-01-16,@,TOR,W,110,89,123.0,99.5,89.4,.232,.333,.723,47.8,71.4,7.8,10.5,,.696,18.3,14.8,.203,,.463,16.0,70.0,.159
42,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
43,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
44,41,41,2015-01-17,@,CHI,W,107,99,116.0,107.3,92.3,.250,.310,.574,48.2,77.5,10.8,13.0,,.542,8.8,20.0,.190,,.519,12.8,81.6,.200
45,42,42,2015-01-19,,DET,W,93,82,100.7,88.8,92.3,.167,.357,.516,40.8,83.8,8.7,2.1,,.494,10.0,10.9,.119,,.409,16.2,64.9,.183
46,43,43,2015-01-21,,IND,W,110,91,115.7,95.7,95.1,.333,.372,.615,50.6,76.9,12.6,5.7,,.583,15.2,22.0,.244,,.429,16.8,77.3,.308
47,44,44,2015-01-23,,OKC,W,103,93,110.6,99.8,93.1,.157,.301,.580,56.6,67.5,6.4,8.2,,.542,15.3,27.0,.157,,.471,10.4,80.4,.126
48,45,45,2015-01-25,,MIN,W,112,100,131.9,117.7,84.9,.225,.350,.637,43.9,66.7,9.4,9.1,,.625,10.2,23.5,.150,,.563,13.7,65.6,.282
