,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
926,25,25,2014-12-18,,NOP,L,90,99,99.6,109.6,90.4,.267,.291,.468,48.9,57.6,8.9,6.3,,.419,10.3,26.7,.209,,.494,11.6,72.1,.220
927,26,26,2014-12-20,,ATL,L,97,104,104.5,112.1,92.8,.209,.500,.516,53.8,79.4,8.6,8.3,,.483,14.6,31.3,.163,,.581,15.1,87.5,.243
928,27,27,2014-12-22,,POR,W,110,95,109.3,94.4,100.6,.230,.414,.574,54.5,53.7,13.9,6.1,,.546,14.3,18.9,.172,,.513,20.8,87.5,.224
929,28,28,2014-12-26,@,MEM,W,117,111,116.2,110.3,91.2,.308,.374,.566,55.1,61.0,2.0,8.8,,.527,11.9,31.0,.231,,.447,5.0,73.2,.173
930,29,29,2014-12-28,@,SAS,L,106,110,106.3,110.3,99.8,.403,.429,.585,52.5,52.6,15.0,1.9,,.571,20.9,30.8,.234,,.536,16.9,73.2,.253
931,30,30,2014-12-29,,WAS,L,103,104,106.5,107.6,96.7,.267,.337,.536,52.1,47.5,11.4,1.8,,.517,15.8,29.3,.163,,.534,17.4,81.3,.356
932,31,31,2014-12-31,,CHO,W,102,83,108.2,88.0,94.3,.159,.489,.542,50.0,57.9,10.6,12.1,,.528,12.9,22.7,.102,,.401,15.5,81.6,.289
933,32,32,2015-01-02,@,NOP,L,83,111,86.4,115.6,96.1,.125,.330,.447,43.7,62.9,13.5,4.4,,.432,17.0,26.0,.080,,.572,16.4,67.6,.193
934,33,33,2015-01-03,,MIA,W,115,79,125.9,86.5,91.3,.337,.373,.603,59.3,51.2,14.2,2.0,,.572,14.4,40.5,.241,,.471,21.0,79.5,.221
935,34,34,2015-01-05,@,CHI,L,105,114,108.0,117.2,97.2,.049,.245,.504,46.6,53.2,9.3,11.8,,.500,13.3,34.8,.029,,.512,14.8,59.5,.318
936,35,35,2015-01-07,@,CLE,W,105,93,116.8,103.4,89.9,.279,.395,.544,57.5,66.7,10.0,5.7,,.523,15.0,44.2,.174,,.476,14.2,70.5,.183
937,36,36,2015-01-08,@,NYK,W,120,96,120.8,96.6,99.3,.416,.468,.659,48.6,61.0,14.1,9.3,,.636,17.3,20.0,.286,,.531,19.0,74.4,.138
938,37,37,2015-01-10,,UTA,W,97,82,102.2,86.4,94.9,.273,.442,.562,44.6,72.7,16.9,5.7,,.513,18.8,20.0,.234,,.450,25.4,73.5,.271
939,38,38,2015-01-12,@,BRK,W,113,99,119.9,105.0,94.3,.233,.465,.596,50.6,53.7,9.5,3.2,,.570,12.9,28.6,.174,,.494,14.8,73.2,.190
940,39,39,2015-01-14,@,ORL,L,113,120,111.1,118.0,101.7,.277,.313,.607,49.4,61.9,10.8,9.4,,.560,17.7,25.6,.241,,.539,12.9,73.7,.256
941,40,40,2015-01-15,,OKC,W,112,101,117.6,106.1,95.2,.221,.419,.593,48.8,61.0,12.6,5.8,,.570,11.3,25.0,.163,,.500,15.4,75.0,.247
942,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
943,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
944,41,41,2015-01-17,,GSW,L,106,131,99.8,123.4,106.2,.386,.261,.515,44.3,59.5,9.4,2.9,,.460,14.2,21.3,.284,,.599,11.7,70.7,.242
945,42,42,2015-01-19,,IND,W,110,98,112.2,100.0,98.0,.458,.431,.636,47.6,70.3,13.3,3.4,,.597,18.0,17.9,.333,,.494,17.0,74.4,.165
946,43,43,2015-01-21,@,GSW,L,113,126,112.1,125.0,100.8,.356,.368,.561,50.0,62.2,8.9,4.3,,.500,15.9,36.2,.299,,.566,13.1,64.4,.153
947,44,44,2015-01-23,@,PHO,W,113,111,114.5,112.4,98.7,.238,.321,.609,48.2,54.5,7.1,9.8,,.583,13.1,16.2,.179,,.516,10.6,72.9,.187
948,45,45,2015-01-25,@,LAL,W,99,87,101.9,89.5,97.2,.241,.506,.514,46.5,62.9,13.4,6.1,,.477,12.7,21.6,.184,,.437,18.9,72.9,.228
949,46,46,2015-01-28,,DAL,W,99,94,101.5,96.3,97.6,.170,.398,.523,45.9,58.3,14.3,12.3,,.489,14.5,23.4,.148,,.488,20.5,73.7,.171
950,47,47,2015-01-30,@,BOS,W,93,87,99.0,92.6,93.9,.238,.357,.501,51.0,62.9,6.4,6.1,,.464,14.7,26.1,.179,,.394,9.9,73.1,.178
951,48,48,2015-01-31,@,DET,L,101,114,106.7,120.4,94.7,.218,.368,.530,47.0,59.0,10.6,5.3,,.511,12.0,25.6,.138,,.561,11.0,70.0,.268
952,49,49,2015-02-04,,CHI,W,101,90,108.6,96.8,93.0,.250,.293,.495,43.9,47.4,6.5,12.5,,.457,5.5,20.8,.185,,.393,10.7,66.7,.225
953,50,50,2015-02-06,,MIL,W,117,111,117.0,111.0,100.0,.358,.395,.624,50.6,78.0,11.0,6.4,,.599,15.3,25.0,.247,,.526,11.3,74.4,.116
954,51,51,2015-02-08,,POR,L,98,109,108.2,120.4,90.6,.415,.427,.505,50.6,77.4,7.7,2.1,,.457,10.2,30.0,.280,,.586,11.3,86.2,.263
955,52,52,2015-02-10,@,PHO,W,127,118,128.6,119.4,98.8,.242,.389,.604,54.7,58.3,9.1,4.9,,.584,11.0,36.6,.168,,.540,12.3,71.1,.276
956,53,53,2015-02-11,@,LAC,L,95,110,96.2,111.4,98.7,.253,.517,.491,45.6,76.5,6.1,10.2,,.443,15.0,27.5,.207,,.506,13.0,69.2,.346
957,54,54,2015-02-20,@,DAL,L,100,111,96.7,107.3,103.5,.299,.425,.508,48.5,55.6,7.7,13.0,,.483,17.6,26.9,.184,,.522,14.4,73.3,.151
958,55,55,2015-02-21,,TOR,W,98,76,93.7,72.7,104.5,.369,.345,.502,57.1,62.9,16.3,15.3,,.452,19.1,25.6,.262,,.351,20.5,85.4,.286
959,56,56,2015-02-23,,MIN,W,113,102,109.7,99.0,103.0,.362,.404,.519,49.1,59.0,10.7,10.7,,.479,12.8,36.7,.245,,.360,15.4,63.0,.376
960,57,57,2015-02-25,,LAC,W,110,105,113.0,107.8,97.4,.341,.500,.543,48.4,75.0,7.2,15.3,,.506,8.2,24.5,.239,,.500,13.1,73.9,.154
961,58,58,2015-02-27,,BRK,W,102,98,107.5,103.3,94.9,.202,.381,.557,48.2,66.7,9.5,7.4,,.518,12.4,20.0,.179,,.471,14.6,73.3,.212
962,59,59,2015-03-01,,CLE,W,105,103,109.7,107.6,86.7,.446,.405,.593,40.4,61.8,11.5,8.6,,.534,17.7,20.5,.351,,.469,12.3,56.0,.112
963,60,60,2015-03-03,@,ATL,L,96,104,98.4,106.6,97.6,.100,.456,.511,45.6,76.9,6.1,10.5,,.511,11.3,16.7,.044,,.500,13.6,78.6,.209
964,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
965,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
966,61,61,2015-03-04,,MEM,L,100,102,113.1,115.3,88.4,.058,.326,.567,51.3,57.1,7.9,7.5,,.552,12.0,27.9,.058,,.530,9.0,80.0,.169
967,62,62,2015-03-06,,DET,W,103,93,101.8,91.9,101.2,.275,.308,.505,52.4,60.5,5.9,8.2,,.451,15.7,29.5,.231,,.392,9.9,68.9,.127
968,63,63,2015-03-07,@,DEN,W,114,100,107.7,94.5,105.8,.372,.326,.570,52.2,62.5,10.4,3.2,,.523,18.0,25.6,.279,,.462,15.2,75.5,.163
969,64,64,2015-03-11,@,POR,L,100,105,101.9,107.0,98.1,.253,.341,.494,40.0,55.3,12.2,8.5,,.478,9.8,21.4,.143,,.511,16.2,63.6,.120
970,65,65,2015-03-12,@,UTA,L,91,109,102.7,123.0,88.6,.304,.405,.508,39.4,55.9,9.0,3.4,,.475,9.1,18.6,.203,,.538,10.8,56.9,.109
971,66,66,2015-03-15,@,LAC,W,100,98,98.9,97.0,101.1,.419,.349,.491,46.2,53.1,6.9,5.4,,.413,10.5,20.8,.337,,.512,17.8,80.0,.171
972,67,67,2015-03-17,,ORL,W,107,94,117.5,103.2,91.1,.346,.346,.595,54.0,69.2,7.7,9.0,,.571,13.5,30.0,.231,,.461,9.4,74.5,.135
973,68,68,2015-03-19,,DEN,W,118,108,111.0,101.6,106.3,.482,.361,.586,53.8,73.0,7.5,7.0,,.518,13.7,21.7,.386,,.522,12.9,86.7,.118
974,69,69,2015-03-21,,PHO,L,102,117,99.3,113.9,102.7,.138,.391,.553,42.4,68.3,6.8,6.5,,.529,16.3,10.3,.115,,.543,12.0,69.6,.185
975,70,70,2015-03-23,@,IND,W,110,100,115.2,104.7,95.5,.569,.369,.677,46.7,51.6,11.5,7.6,,.577,18.9,14.3,.538,,.489,15.5,66.0,.133
976,71,71,2015-03-25,@,NOP,W,95,93,106.7,104.4,89.1,.148,.272,.551,53.8,72.5,7.9,6.7,,.531,17.3,32.4,.111,,.487,12.7,72.1,.267
977,72,72,2015-03-27,,MIN,W,120,110,127.8,117.2,93.9,.205,.530,.663,56.9,77.3,10.7,9.7,,.651,15.8,34.2,.145,,.526,12.5,82.4,.395
978,73,73,2015-03-29,@,WAS,W,99,91,103.5,95.1,95.7,.413,.363,.524,55.2,52.9,12.5,10.0,,.481,16.7,33.3,.275,,.413,15.7,77.1,.387
979,74,74,2015-03-30,@,TOR,L,96,99,102.9,106.1,93.3,.369,.321,.492,46.1,60.0,7.5,5.4,,.464,11.7,25.0,.214,,.500,14.3,70.7,.269
980,75,75,2015-04-01,,SAC,W,115,111,112.8,108.9,102.0,.281,.449,.575,42.4,58.5,13.7,15.9,,.562,14.5,27.5,.169,,.536,16.9,58.3,.083
981,76,76,2015-04-02,@,DAL,W,108,101,111.8,104.6,96.6,.519,.403,.571,57.3,70.6,9.3,3.4,,.513,16.0,34.7,.377,,.488,11.9,80.9,.226
982,77,77,2015-04-05,@,OKC,W,115,112,115.4,112.4,99.6,.617,.346,.558,45.2,47.4,14.1,6.5,,.519,8.8,26.1,.383,,.511,14.8,63.8,.196
983,78,78,2015-04-08,@,SAS,L,98,110,104.8,117.7,93.5,.190,.298,.538,45.3,64.1,7.5,4.1,,.524,12.5,19.0,.119,,.542,8.3,70.5,.074
984,79,79,2015-04-10,,SAS,L,103,104,106.6,107.7,96.6,.803,.318,.577,49.4,61.3,9.3,7.4,,.538,18.3,25.0,.485,,.506,13.6,69.8,.212
985,80,80,2015-04-12,,NOP,W,121,114,128.2,120.8,94.4,.658,.329,.643,50.6,41.0,6.4,9.4,,.596,10.5,25.7,.466,,.544,9.0,70.5,.165
986,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
987,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
988,81,81,2015-04-13,@,CHO,W,100,90,104.9,94.4,95.3,.306,.412,.518,53.3,54.3,9.4,19.6,,.465,9.4,21.7,.247,,.488,14.2,84.8,.108
989,82,82,2015-04-15,,UTA,W,117,91,111.7,86.9,104.7,.447,.368,.643,52.7,68.3,8.6,17.6,,.618,16.5,11.8,.303,,.401,11.4,76.3,.099
990,1,1,2014-10-29,,PHI,W,103,91,109.5,96.7,94.1,.346,.309,.552,54.3,57.9,5.3,19.1,,.519,15.4,34.1,.235,,.416,9.7,70.6,.191
991,2,2,2014-10-31,,MEM,L,89,97,102.2,111.4,87.1,.216,.284,.549,53.5,55.9,5.7,5.0,,.514,18.2,27.5,.176,,.487,9.0,76.1,.253
992,3,3,2014-11-01,@,ATL,L,92,102,99.2,110.0,92.7,.259,.395,.510,54.3,80.6,5.4,10.2,,.457,16.6,24.4,.222,,.558,12.6,91.7,.362
993,4,4,2014-11-04,,MIL,L,81,87,93.1,100.0,87.0,.282,.308,.462,54.7,45.2,4.6,14.5,,.436,16.2,33.3,.167,,.488,12.2,78.0,.072
994,5,5,2014-11-05,@,WAS,L,94,96,92.5,94.5,92.0,.222,.300,.476,57.0,62.9,3.0,12.2,,.433,15.4,28.0,.178,,.412,10.6,86.0,.231
995,6,6,2014-11-07,@,BOS,L,98,101,108.3,111.7,90.5,.148,.216,.523,52.5,45.0,2.2,10.3,,.483,12.2,32.6,.148,,.512,11.5,75.7,.165
996,7,7,2014-11-08,,WAS,L,90,97,96.2,103.7,93.5,.325,.312,.511,43.7,33.3,5.3,4.3,,.481,17.0,18.2,.208,,.494,13.3,69.8,.210
997,8,8,2014-11-10,,UTA,W,97,86,111.2,98.6,87.2,.167,.167,.502,54.3,41.0,3.4,5.7,,.467,6.8,28.9,.144,,.473,11.7,86.1,.216
998,9,9,2014-11-12,@,MIA,W,81,75,103.3,95.6,78.4,.188,.325,.468,65.4,43.3,6.4,10.4,,.425,14.8,42.1,.163,,.493,10.6,86.0,.118
999,10,10,2014-11-14,,DEN,L,87,108,94.8,117.7,91.8,.262,.262,.464,47.7,50.0,2.2,10.9,,.452,12.2,25.0,.131,,.540,7.5,70.5,.161
1000,11,11,2014-11-15,@,CHI,W,99,90,108.5,98.7,91.2,.325,.234,.563,57.5,48.6,5.5,9.1,,.526,13.7,29.4,.234,,.446,12.3,78.3,.193
1001,12,12,2014-11-19,,CHO,W,88,86,105.7,103.3,83.3,.308,.192,.497,55.4,42.9,3.6,4.2,,.462,11.0,32.6,.205,,.459,5.2,75.5,.081
1002,13,13,2014-11-22,,PHO,L,83,106,92.0,117.5,90.2,.238,.274,.447,48.0,58.1,10.0,9.3,,.411,13.1,28.3,.167,,.518,11.3,71.1,.212
1003,14,14,2014-11-24,@,DAL,W,111,100,117.5,105.9,94.5,.468,.338,.598,54.3,54.1,6.4,7.1,,.565,11.4,20.5,.312,,.550,11.9,85.7,.150
1004,15,15,2014-11-26,@,SAS,L,100,106,104.6,110.9,95.6,.207,.241,.527,44.4,57.5,9.4,1.7,,.517,11.2,15.9,.115,,.588,14.7,78.4,.257
1005,16,16,2014-11-28,,ORL,W,98,83,107.5,91.1,91.1,.149,.170,.489,62.4,61.0,7.7,5.8,,.457,9.9,36.2,.128,,.493,18.9,94.7,.200
1006,17,17,2014-11-29,@,CLE,L,97,109,107.5,120.9,90.2,.292,.247,.483,52.2,74.3,2.2,1.6,,.433,6.5,30.0,.225,,.571,8.9,78.6,.256
1007,18,18,2014-12-02,@,PHO,L,99,116,98.7,115.7,100.3,.200,.153,.535,48.2,48.8,8.0,4.9,,.506,17.0,18.6,.153,,.570,11.0,78.6,.209
1008,19,19,2014-12-04,@,POR,L,82,88,83.1,89.1,98.7,.088,.198,.434,51.5,52.8,5.1,8.1,,.423,15.2,20.4,.055,,.422,11.4,88.9,.217
1009,20,20,2014-12-05,@,SAC,L,101,102,99.0,100.0,92.4,.302,.271,.464,46.7,50.0,9.8,6.8,,.406,6.9,19.1,.240,,.446,12.2,75.6,.337
1010,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
1011,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1012,21,21,2014-12-08,,ATL,L,92,108,93.2,109.4,98.7,.202,.321,.503,47.2,62.2,6.1,3.6,,.494,15.7,16.3,.107,,.578,15.3,85.0,.247
1013,22,22,2014-12-10,,LAC,L,96,103,101.6,109.0,94.5,.247,.303,.486,46.2,77.1,6.3,1.6,,.444,10.0,23.1,.191,,.517,11.3,75.6,.136
1014,23,23,2014-12-12,@,TOR,L,94,106,101.5,114.4,92.6,.288,.275,.522,42.9,72.7,4.3,10.8,,.463,11.8,14.3,.250,,.473,9.0,67.3,.220
1015,24,24,2014-12-13,,POR,L,85,95,90.8,101.5,93.6,.182,.170,.447,51.6,47.1,8.5,2.7,,.409,12.0,25.5,.148,,.472,11.2,77.1,.111
1016,25,25,2014-12-15,,LAL,W,110,91,116.4,96.3,94.5,.325,.205,.580,58.2,52.5,7.4,3.2,,.524,12.1,28.9,.277,,.386,8.2,79.2,.261
1017,26,26,2014-12-17,@,LAC,L,100,102,105.7,107.8,94.6,.256,.211,.499,45.7,67.5,6.3,6.7,,.467,10.7,27.5,.178,,.474,10.9,67.4,.359
1018,27,27,2014-12-20,@,DEN,L,73,76,76.9,80.0,94.9,.193,.261,.382,50.5,63.0,5.3,3.0,,.347,12.8,21.6,.136,,.378,15.0,81.3,.171
1019,28,28,2014-12-21,@,MIN,W,100,96,107.5,103.2,93.0,.167,.226,.555,45.6,59.5,9.7,9.1,,.536,12.6,19.0,.119,,.500,15.4,75.7,.247
1020,29,29,2014-12-23,,NOP,W,96,84,103.4,90.5,92.9,.231,.192,.559,45.2,61.5,9.7,19.0,,.532,9.5,7.5,.167,,.422,14.1,79.5,.169
1021,30,30,2014-12-26,@,DET,L,109,119,112.7,123.0,96.8,.265,.241,.588,51.2,59.5,3.1,6.7,,.560,16.3,26.8,.193,,.605,8.4,73.3,.174
1022,31,31,2014-12-27,@,BRK,W,110,85,114.9,88.8,95.7,.209,.209,.586,56.3,75.0,11.5,9.6,,.564,9.6,18.9,.151,,.409,14.4,88.4,.286
1023,32,32,2014-12-29,,CHI,L,90,92,96.6,98.7,93.2,.253,.157,.488,48.9,50.0,5.4,11.3,,.464,12.4,17.9,.157,,.375,9.2,72.5,.345
1024,33,33,2014-12-31,,MIA,W,106,95,122.1,109.4,86.8,.380,.228,.575,52.0,65.7,4.6,6.6,,.506,9.8,28.2,.329,,.526,11.5,77.8,.182
1025,34,34,2015-01-02,@,MIL,W,94,91,101.4,98.2,92.7,.247,.247,.523,51.1,68.6,7.6,4.6,,.481,14.3,23.3,.198,,.466,11.4,77.8,.090
1026,35,35,2015-01-04,@,LAL,L,87,88,97.3,98.4,89.4,.200,.311,.444,57.5,63.6,5.6,3.8,,.411,12.5,33.3,.144,,.423,11.6,87.2,.394
1027,36,36,2015-01-05,@,UTA,W,105,101,120.5,115.9,87.1,.405,.176,.602,46.1,57.1,9.2,5.2,,.520,10.3,22.9,.378,,.457,9.4,65.9,.333
1028,37,37,2015-01-07,@,GSW,L,102,117,102.2,117.2,99.8,.284,.321,.560,51.3,64.9,4.0,3.2,,.494,15.7,14.7,.272,,.560,9.9,78.3,.165
1029,38,38,2015-01-09,,BOS,W,107,103,103.9,100.0,93.3,.370,.250,.500,52.8,61.8,4.9,13.0,,.418,13.0,30.2,.326,,.447,8.3,75.5,.107
1030,39,39,2015-01-10,@,PHI,L,92,93,98.6,99.7,93.3,.483,.207,.436,55.1,55.2,9.6,8.9,,.356,11.0,37.3,.345,,.469,15.0,74.5,.225
1031,40,40,2015-01-13,,MIN,L,101,110,102.2,111.3,98.8,.375,.225,.542,54.7,56.4,9.1,7.5,,.519,15.4,27.0,.225,,.529,13.6,81.6,.207
1032,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
1033,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1034,41,41,2015-01-16,,DET,L,96,98,104.6,106.7,91.8,.135,.202,.509,47.3,55.0,8.7,7.4,,.483,11.3,26.1,.112,,.453,13.6,68.1,.247
1035,42,42,2015-01-17,@,CHO,L,71,80,70.4,79.4,91.3,.155,.250,.396,49.1,60.0,5.0,11.6,,.369,17.5,13.7,.107,,.317,5.9,77.8,.158
1036,43,43,2015-01-19,@,HOU,L,98,110,100.0,112.2,98.0,.212,.318,.527,52.4,53.8,12.2,0.0,,.494,17.0,25.6,.165,,.597,18.0,82.1,.333
1037,44,44,2015-01-21,@,ATL,L,91,110,95.7,115.7,95.1,.333,.321,.509,49.4,71.0,7.4,4.1,,.429,16.8,22.7,.308,,.583,15.2,78.0,.244
1038,45,45,2015-01-23,@,MIA,L,87,89,92.9,95.0,93.6,.295,.192,.494,50.7,43.8,9.6,5.2,,.429,17.0,20.0,.256,,.507,16.4,87.9,.173
1039,46,46,2015-01-25,@,ORL,W,106,99,111.3,104.0,95.2,.217,.241,.583,58.8,62.8,8.4,8.2,,.566,13.3,23.1,.145,,.526,12.0,92.7,.218
1040,47,47,2015-01-27,,TOR,L,91,104,100.6,115.0,90.4,.280,.220,.494,50.6,64.7,4.4,6.4,,.457,13.2,24.4,.195,,.527,10.2,80.0,.370
1041,48,48,2015-01-29,,NYK,W,103,82,115.8,92.2,89.0,.228,.228,.592,59.8,59.5,4.5,6.2,,.570,11.2,22.9,.165,,.451,10.3,87.2,.111
1042,49,49,2015-01-31,,SAC,L,94,99,100.7,106.1,93.3,.313,.313,.516,46.5,66.7,8.6,7.7,,.444,13.3,19.6,.288,,.456,11.5,77.5,.325
1043,50,50,2015-02-04,,DET,W,114,109,129.6,124.0,87.9,.234,.273,.671,51.4,60.9,5.7,6.3,,.675,11.5,25.8,.130,,.563,9.7,70.7,.126
1044,51,51,2015-02-06,,CLE,W,103,99,115.4,110.9,89.3,.329,.266,.569,48.8,70.3,10.1,3.7,,.519,8.1,24.3,.266,,.511,13.7,68.1,.090
1045,52,52,2015-02-08,@,CHO,W,103,102,109.0,107.9,94.5,.298,.226,.542,53.3,51.4,4.2,3.2,,.482,11.2,20.5,.262,,.519,10.1,88.9,.286
1046,53,53,2015-02-09,,SAS,L,93,95,100.6,102.7,92.5,.148,.239,.496,54.3,66.7,4.3,9.4,,.455,11.4,24.4,.148,,.449,6.8,83.0,.169
1047,54,54,2015-02-11,@,NOP,W,106,93,120.5,105.7,88.0,.240,.267,.639,53.6,70.0,8.0,3.4,,.593,13.6,21.9,.227,,.507,13.3,81.1,.243
1048,55,55,2015-02-20,@,PHI,W,106,95,109.7,98.3,96.6,.265,.265,.572,48.4,60.0,13.5,1.7,,.530,13.9,22.0,.217,,.452,14.9,70.0,.226
1049,56,56,2015-02-22,,GSW,W,104,98,109.9,103.6,94.6,.284,.235,.571,50.5,51.3,3.2,6.3,,.531,14.1,17.9,.222,,.433,8.4,75.0,.236
1050,57,57,2015-02-24,@,OKC,L,92,105,95.6,109.1,96.3,.125,.295,.495,45.7,68.4,5.2,4.2,,.483,12.3,17.6,.080,,.464,8.8,72.2,.167
1051,58,58,2015-02-27,,CLE,W,93,86,99.6,92.1,93.3,.363,.213,.501,49.5,67.6,8.6,11.1,,.463,7.9,18.6,.238,,.408,13.3,74.1,.120
1052,59,59,2015-03-01,,PHI,W,94,74,98.7,77.7,95.3,.284,.205,.475,53.0,47.2,11.5,15.0,,.426,10.8,26.0,.216,,.375,14.9,80.0,.131
1053,60,60,2015-03-04,,NYK,W,105,82,114.3,89.3,91.8,.300,.275,.580,47.1,55.3,8.7,13.3,,.538,10.8,19.0,.238,,.434,18.1,74.4,.211
1054,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
1055,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1056,61,61,2015-03-06,,CHI,W,98,84,111.4,95.5,88.0,.413,.250,.518,53.7,67.6,8.0,6.3,,.463,10.4,33.3,.300,,.390,10.4,72.0,.198
1057,62,62,2015-03-07,@,NYK,W,92,86,105.9,99.0,86.9,.380,.228,.499,52.3,53.3,5.8,4.8,,.424,10.7,30.0,.316,,.404,11.6,71.7,.295
1058,63,63,2015-03-10,,ORL,W,118,86,131.6,95.9,89.7,.141,.400,.654,52.1,82.2,6.7,6.7,,.629,12.6,29.7,.129,,.391,9.0,66.7,.152
1059,64,64,2015-03-12,,MIL,W,109,103,103.2,97.6,95.6,.354,.278,.597,50.0,61.5,6.6,9.1,,.551,18.0,14.3,.278,,.407,12.3,77.8,.319
1060,65,65,2015-03-14,,BOS,L,89,93,95.7,100.0,93.0,.176,.282,.486,47.2,47.1,4.3,5.5,,.453,13.3,19.1,.141,,.470,10.7,78.6,.181
1061,66,66,2015-03-16,,TOR,L,98,117,100.3,119.7,97.7,.284,.216,.495,41.4,55.3,7.2,6.8,,.443,3.9,8.3,.227,,.549,10.2,82.1,.329
1062,67,67,2015-03-18,@,CHI,L,86,103,91.9,110.1,93.6,.259,.235,.477,42.2,50.0,3.2,13.8,,.432,9.1,10.4,.198,,.476,11.3,78.6,.305
1063,68,68,2015-03-20,@,CLE,L,92,95,106.2,109.7,86.6,.155,.238,.513,48.3,63.9,5.8,10.7,,.476,8.2,20.9,.143,,.482,9.0,75.0,.195
1064,69,69,2015-03-21,,BRK,L,111,123,119.2,132.1,93.1,.200,.256,.567,52.7,48.9,3.2,3.2,,.544,8.4,25.6,.144,,.653,8.3,90.3,.333
1065,70,70,2015-03-23,,HOU,L,100,110,104.7,115.2,95.5,.211,.267,.508,53.3,52.5,7.3,12.2,,.489,15.5,34.0,.133,,.577,18.9,85.7,.538
1066,71,71,2015-03-25,@,WAS,W,103,101,108.2,106.1,95.2,.329,.306,.529,48.3,55.3,7.4,3.3,,.500,9.3,18.4,.212,,.473,9.8,85.0,.400
1067,72,72,2015-03-26,@,MIL,L,107,111,113.3,117.5,94.5,.606,.423,.595,57.7,60.0,7.4,7.4,,.521,17.4,33.3,.465,,.596,15.4,82.9,.329
1068,73,73,2015-03-29,,DAL,W,104,99,105.9,100.8,98.2,.342,.224,.595,51.2,60.5,6.1,8.0,,.566,14.6,11.1,.237,,.478,10.9,81.3,.144
1069,74,74,2015-03-31,@,BRK,L,106,111,114.1,119.5,92.9,.293,.280,.573,47.4,62.2,3.2,9.7,,.524,9.8,14.6,.244,,.556,7.0,83.8,.275
1070,75,75,2015-04-01,@,BOS,L,87,100,92.8,106.6,93.8,.284,.185,.477,45.9,50.0,5.3,5.1,,.457,11.6,17.0,.160,,.488,9.6,81.6,.186
